2025-11-08 23:55:54,947 INFO    MainThread:80551 [wandb_setup.py:_flush():77] Current SDK version is 0.17.9
2025-11-08 23:55:54,948 INFO    MainThread:80551 [wandb_setup.py:_flush():77] Configure stats pid to 80551
2025-11-08 23:55:54,948 INFO    MainThread:80551 [wandb_setup.py:_flush():77] Loading settings from /Users/williamwestbrook/.config/wandb/settings
2025-11-08 23:55:54,948 INFO    MainThread:80551 [wandb_setup.py:_flush():77] Loading settings from /Users/williamwestbrook/resnet-sprint/wandb/settings
2025-11-08 23:55:54,948 INFO    MainThread:80551 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2025-11-08 23:55:54,948 INFO    MainThread:80551 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2025-11-08 23:55:54,948 INFO    MainThread:80551 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'benchmark.py', 'program_abspath': '/Users/williamwestbrook/resnet-sprint/benchmark.py', 'program': '/Users/williamwestbrook/resnet-sprint/benchmark.py'}
2025-11-08 23:55:54,948 INFO    MainThread:80551 [wandb_setup.py:_flush():77] Applying login settings: {}
2025-11-08 23:55:54,948 INFO    MainThread:80551 [wandb_setup.py:_flush():77] Applying login settings: {'mode': 'offline'}
2025-11-08 23:55:54,949 INFO    MainThread:80551 [wandb_init.py:_log_setup():524] Logging user logs to /Users/williamwestbrook/resnet-sprint/wandb/offline-run-20251108_235554-5h6ofydf/logs/debug.log
2025-11-08 23:55:54,949 INFO    MainThread:80551 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/williamwestbrook/resnet-sprint/wandb/offline-run-20251108_235554-5h6ofydf/logs/debug-internal.log
2025-11-08 23:55:54,949 INFO    MainThread:80551 [wandb_init.py:init():608] calling init triggers
2025-11-08 23:55:54,949 INFO    MainThread:80551 [wandb_init.py:init():615] wandb.init called with sweep_config: {}
config: {}
2025-11-08 23:55:54,949 INFO    MainThread:80551 [wandb_init.py:init():658] starting backend
2025-11-08 23:55:54,949 INFO    MainThread:80551 [wandb_init.py:init():662] setting up manager
2025-11-08 23:55:54,954 INFO    MainThread:80551 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-11-08 23:55:54,957 INFO    MainThread:80551 [wandb_init.py:init():670] backend started and connected
2025-11-08 23:55:54,962 INFO    MainThread:80551 [wandb_init.py:init():768] updated telemetry
2025-11-08 23:55:55,012 INFO    MainThread:80551 [wandb_init.py:init():801] communicating run to backend with 90.0 second timeout
2025-11-08 23:55:55,019 INFO    MainThread:80551 [wandb_init.py:init():852] starting run threads in backend
2025-11-08 23:55:55,239 INFO    MainThread:80551 [wandb_run.py:_console_start():2465] atexit reg
2025-11-08 23:55:55,240 INFO    MainThread:80551 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2025-11-08 23:55:55,240 INFO    MainThread:80551 [wandb_run.py:_redirect():2376] Wrapping output streams.
2025-11-08 23:55:55,240 INFO    MainThread:80551 [wandb_run.py:_redirect():2401] Redirects installed.
2025-11-08 23:55:55,244 INFO    MainThread:80551 [wandb_init.py:init():895] run started, returning control to user process
2025-11-08 23:55:55,244 INFO    MainThread:80551 [wandb_run.py:_finish():2162] finishing run resnet-sprint/5h6ofydf
2025-11-08 23:55:55,244 INFO    MainThread:80551 [wandb_run.py:_atexit_cleanup():2426] got exitcode: 0
2025-11-08 23:55:55,244 INFO    MainThread:80551 [wandb_run.py:_restore():2408] restore
2025-11-08 23:55:55,244 INFO    MainThread:80551 [wandb_run.py:_restore():2414] restore done
2025-11-08 23:55:55,245 INFO    MainThread:80551 [wandb_run.py:_on_finish():2679] communicating current version
2025-11-08 23:55:55,246 INFO    MainThread:80551 [wandb_run.py:_on_finish():2688] got version response 
2025-11-08 23:55:56,266 INFO    MainThread:80551 [wandb_run.py:_footer_history_summary_info():4088] rendering history
2025-11-08 23:55:56,267 INFO    MainThread:80551 [wandb_run.py:_footer_history_summary_info():4120] rendering summary
